PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
700103,South 24 Parganas,South Presidency,Bonhooghly B.O,S3 COMPUTER BAZAR LLP,AAA-0243,"MAHAMAYATALA, JHILL PAR ROAD, GND FLOOR KUMRAKHALI (NORTH), PO-NARENDRAPUR      KOLKATA, West Bengal, India - 700103  KOLKATA West Bengal 700103 India",https://www.zaubacorp.com/S3-COMPUTER-BAZAR-LLP-AAA-0243
700080,Kolkata,Kolkata North,Jessore Road S.O,PROTECT HOME LLP,AAA-0353,"13, KHUDIRAM BOSE SARANI FLAT-204, MALL ENCLAVE, BLOCK A, 2 ND FLOOR      KOLKATA, West Bengal, India - 700080  KOLKATA West Bengal 700080 India",https://www.zaubacorp.com/PROTECT-HOME-LLP-AAA-0353
700098,North 24 Parganas,Kolkata East,Bidhan Nagar Sai Complex S.O,NARMADA EARTH MOVING EQUIPMENTS & SERVIC ES LLP,AAA-0443,"L - 219, SUKANTA NAGAR, SALT LAKE CITY, SECTOR - 4,      KOLKATA, West Bengal, India - 700098  KOLKATA West Bengal 700098 India",https://www.zaubacorp.com/NARMADA-EARTH-MOVING-EQUIPMENTS-AND-SERVIC-ES-LLP-AAA-0443
741246,Nadia,Nadia South,Haringhat River Research Insti B.O,NV CAPITAL SERVICES LLP,AAA-0551,"Plot no. 241/242, Nirmal Building16th Floor, Block III, Backbay Reclamation, Nariman Point      Mumbai, Maharashtra, India - 400021  Mumbai Maharashtra 400021 India",https://www.zaubacorp.com/NV-CAPITAL-SERVICES-LLP-AAA-0551
700095,Kolkata,Calcutta South,Golf Green S.O,DRISSCOLL INTERNATIONAL LLP,AAA-0608,"C-73, JHILMIL COLONY SHAHDARA      DELHI, Delhi, India - 110095  DELHI Delhi 110095 India",https://www.zaubacorp.com/DRISSCOLL-INTERNATIONAL-LLP-AAA-0608
742402,Murshidabad,Murshidabad,Talibpur S.O,ARIHANT MINING LLP,AAA-0621,"SARAFA BAZAR 1 ST NEAR JAIN MANDIR      CHANDRAPUR, Maharashtra, India - 442402  CHANDRAPUR Maharashtra 442402 India",https://www.zaubacorp.com/ARIHANT-MINING-LLP-AAA-0621
700141,South 24 Parganas,South Presidency,Ashuti B.O,GREENFIELD CITY PROJECT LLP,AAA-0650,"PREMISES NO.E-3/398, WARD NO.14 SHIRAMPORE ROAD, SHIBRAMPUR      KOLKATA, West Bengal, India - 700141  KOLKATA West Bengal 700141 India",https://www.zaubacorp.com/GREENFIELD-CITY-PROJECT-LLP-AAA-0650
700066,Kolkata,Calcutta South,Bidhangarh S.O,LYRIS ENTERPRISES LLP,AAA-0709,"92, GITANJALI, 73, WALKESHWAR ROAD,      MUMBAI, Maharashtra, India - 400006  MUMBAI Maharashtra 400006 India",https://www.zaubacorp.com/LYRIS-ENTERPRISES-LLP-AAA-0709
743124,North 24 Parganas,North Presidency,ESD (M) S.O,TRANSFOLIGN CONSULTING LLP,AAA-0713,"32, CHERRYSONS,143-144, ST CYRIL RD BANDRA WEST      MUMBAI, Maharashtra, India - 400050  MUMBAI Maharashtra 400050 India",https://www.zaubacorp.com/TRANSFOLIGN-CONSULTING-LLP-AAA-0713
741166,Nadia,Nadia North,Kalinga B.O,LCGC BIOANALYTIC SOLUTIONS LLP,AAA-0791,"LCGG TOWERS, 161/166, PAIGH COLONY      SECUNDERABAD, Telangana, India - 500003  SECUNDERABAD Telangana 500003 India",https://www.zaubacorp.com/LCGC-BIOANALYTIC-SOLUTIONS-LLP-AAA-0791
