PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
741315,Nadia,Nadia North,Amghata B.O,SANOWAR BAG HOUSE (OPC) PRIVATE LIMITED,U19120AS2018OPC018747,"C/O NUR AMIN, HOUSE NO. 60, VILLAGE - KHAIRABARI, BARPETA ROAD   , BARPETA, Assam, India - 781315  BARPETA Assam 781315 India",https://www.zaubacorp.com/SANOWAR-BAG-HOUSE-OPC-PRIVATE-LIMITED-U19120AS2018OPC018747
741121,Nadia,Nadia South,Arbandi B.O,KINGSON PRODUCTS PRIVATE LIMITED,U19120PB2011PTC035715,"NEAR HARA DAIRY, VILLAGE KANGANWAL P.O. JUGIANA   , LUDHIANA, Punjab, India - 141112  LUDHIANA Punjab 141112 India",https://www.zaubacorp.com/KINGSON-PRODUCTS-PRIVATE-LIMITED-U19120PB2011PTC035715
700039,South 24 Parganas,Kolkata East,Bediadanga S.O,ENGEL LEATHER EXPORTS FACILITIES PVT LTD,U19120WB1981PTC034149,"37 TOPSIA ROAD   , KOL, West Bengal, India - 700039  KOL West Bengal 700039 India",https://www.zaubacorp.com/ENGEL-LEATHER-EXPORTS-FACILITIES-PVT-LTD-U19120WB1981PTC034149
700017,Kolkata,Kolkata East,Circus Avenue S.O,REBERA HOLDING PVT.LTD.,U19120WB1995PTC070398,"24 PARK ST   , KOLKATA, West Bengal, India - 700017  KOLKATA West Bengal 700017 India",https://www.zaubacorp.com/REBERA-HOLDING-PVT-LTD-U19120WB1995PTC070398
743502,South 24 Parganas,South Presidency,Bamunia B.O,GREENWOOD DESIGN PRIVATE LIMITED,U19120WB2008PTC123102,"BANTALA LEATHERS GOODS PARK ZONE-9, PLOT NO. 1672  , Bhangar - I, West Bengal, India - 743502  Bhangar - I West Bengal 743502 India",https://www.zaubacorp.com/GREENWOOD-DESIGN-PRIVATE-LIMITED-U19120WB2008PTC123102
700039,South 24 Parganas,Kolkata East,Bediadanga S.O,BAGS & BRANDS EXPORT PRIVATE LIMITED,U19120WB2016PTC215693,"35/2B TOPSIA ROAD, TILJALA   , KOLKATA, West Bengal, India - 700039  KOLKATA West Bengal 700039 India",https://www.zaubacorp.com/BAGS-AND-BRANDS-EXPORT-PRIVATE-LIMITED-U19120WB2016PTC215693
700039,South 24 Parganas,Kolkata East,Bediadanga S.O,TRIBEDA LEATHER PRIVATE LIMITED,U19120WB2018PTC228864,"92/1, TOPSIA ROAD,   , KOLKATA, West Bengal, India - 700039  KOLKATA West Bengal 700039 India",https://www.zaubacorp.com/TRIBEDA-LEATHER-PRIVATE-LIMITED-U19120WB2018PTC228864
743702,North 24 Parganas,Barasat,Rajibpur S.O,FASHION BLUE PRIVATE LIMITED,U19120WB2020PTC241595,"PLOT NO 1604, ZONE 9, PHASE II KOLKATA LEATHER COMPLEX   , KOLKATA, West Bengal, India - 743502  KOLKATA West Bengal 743502 India",https://www.zaubacorp.com/FASHION-BLUE-PRIVATE-LIMITED-U19120WB2020PTC241595
700035,Kolkata,Kolkata North,Alambazar S.O,LETHAL GRAZE PRIVATE LIMITED,U19120WB2021PTC242740,"12, P. W. D. ROAD P.S- BARANAGAR   , KOLKATA, West Bengal, India - 700035  KOLKATA West Bengal 700035 India",https://www.zaubacorp.com/LETHAL-GRAZE-PRIVATE-LIMITED-U19120WB2021PTC242740
700039,South 24 Parganas,Kolkata East,Bediadanga S.O,GOLDWORK LEDERWAREN (OPC) PRIVATE LIMITED,U19120WB2022OPC251392,"66 Golam Jelani Khan Road   , Kolkata, West Bengal, India - 700039  Kolkata West Bengal 700039 India",https://www.zaubacorp.com/GOLDWORK-LEDERWAREN-OPC-PRIVATE-LIMITED-U19120WB2022OPC251392
